100,E4,FALSE,D0 Untreated Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,18.571,18.601,0.026,,,,,TRUE,0.35,TRUE,3,12,,,1.438,N,81.321,,,N
101,E5,FALSE,D0 Untreated Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,18.617,18.601,0.026,,,,,TRUE,0.35,TRUE,3,13,,,1.435,N,81.321,,,N
102,E6,FALSE,D0 Untreated Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,18.614,18.601,0.026,,,,,TRUE,0.35,TRUE,3,12,,,1.432,N,81.321,,,N
103,E7,FALSE,1d Condition A Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.936,18.936,0.047,,,,,TRUE,0.35,TRUE,3,13,,,1.429,N,81.449,,,N
104,E8,FALSE,1d Condition A Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.888,18.936,0.047,,,,,TRUE,0.35,TRUE,3,12,,,1.432,N,81.449,,,N
105,E9,FALSE,1d Condition A Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.983,18.936,0.047,,,,,TRUE,0.35,TRUE,3,13,,,1.426,N,81.321,,,N
106,E10,FALSE,1d Condition A Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,20.023,19.072,0.922,,,,,TRUE,0.35,TRUE,3,14,,,1.396,Y,80.68,,,N
107,E11,FALSE,1d Condition A Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,18.182,19.072,0.922,,,,,TRUE,0.35,TRUE,3,12,,,1.46,Y,82.09,,,N
108,E12,FALSE,1d Condition A Rep 2,Housekeeper,UNKNOWN,SYBR,None,,,,19.011,19.072,0.922,,,,,TRUE,0.35,TRUE,3,13,,,1.427,Y,81.449,,,N
109,E13,FALSE,1d Condition B Rep 1,Housekeeper,UNKNOWN,SYBR,None,,,,18.443,18.61,0.164,,,,,TRUE,0.35,TRUE,3,12,,,1.439,N,81.706,,,N
